Description,SUP,AD,SD,City,Total,Total H,(Alyssa) Latino_AN,(Alyssa) Latino_AN H,(Alyssa) Vietnamese_AN,(Alyssa) Vietnamese_AN H,(Alyssa) Chinese_AN,(Alyssa) Chinese_AN H
Total,,,,,,,,,,,,
Total,-,-,-,-,529649,248861,65323,39194,48245,21610,8872,5570
3052131,2,74,37,CITY OF COSTA MESA WARD 1,3133,1407,487,264,230,109,65,42
3052164,2,74,37,CITY OF COSTA MESA WARD 5,973,574,261,161,15,14,10,8
3052167,2,74,37,CITY OF COSTA MESA WARD 2,2423,995,530,283,219,92,27,15
3052179,2,74,37,CITY OF COSTA MESA WARD 1,895,389,154,81,11,9,4,3
3052180,2,74,37,CITY OF COSTA MESA WARD 2,421,312,52,47,9,6,7,7
3052184,2,74,37,CITY OF COSTA MESA WARD 6,2206,1198,199,146,11,11,17,14
3052186,2,74,37,CITY OF COSTA MESA WARD 6,2542,1244,240,164,18,12,27,19
3052188,2,74,37,CITY OF COSTA MESA WARD 1,315,172,28,25,60,34,8,7
3052194,2,74,37,CITY OF COSTA MESA WARD 3,345,191,128,79,5,3,1,1
3052195,2,74,37,CITY OF COSTA MESA WARD 5,920,538,342,222,12,10,8,6
3052196,2,74,37,CITY OF COSTA MESA WARD 5,290,196,52,43,2,2,1,1
3052197,2,74,37,CITY OF COSTA MESA WARD 5,2130,1259,360,249,48,24,17,12
3052200,2,74,37,CITY OF COSTA MESA WARD 5,2537,1321,462,271,26,17,20,16
3052202,2,74,37,CITY OF COSTA MESA WARD 3,2,1,2,1,0,0,0,0
3052207,2,74,37,CITY OF COSTA MESA WARD 4,631,277,232,99,13,7,4,4
3052210,2,74,37,CITY OF COSTA MESA WARD 4,1254,652,805,430,19,13,4,4
3052211,2,74,37,CITY OF COSTA MESA WARD 4,408,211,296,172,1,1,0,0
3052212,2,74,37,CITY OF COSTA MESA WARD 4,662,393,384,237,9,7,0,0
3052213,2,74,37,CITY OF COSTA MESA WARD 6,512,256,29,22,4,3,3,3
3052216,2,74,37,CITY OF COSTA MESA WARD 4,66,31,37,18,2,1,1,1
3052224,2,74,37,CITY OF COSTA MESA WARD 2,1618,1139,262,211,42,34,36,32
3052231,2,74,37,CITY OF COSTA MESA WARD 2,1,1,0,0,0,0,0,0
3052234,2,74,37,CITY OF COSTA MESA WARD 5,218,147,17,16,1,1,2,2
3052235,2,74,37,CITY OF COSTA MESA WARD 2,4,3,1,1,0,0,0,0
3052237,2,74,37,CITY OF COSTA MESA WARD 4,430,258,226,129,1,1,3,3
3053049,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,12,5,1,1,0,0,0,0
3053052,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,1069,575,192,125,20,14,14,12
3053055,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,50,19,2,1,0,0,0,0
3053056,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,7,4,0,0,0,0,0,0
3053057,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,802,364,63,41,20,10,10,7
3053059,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,1729,908,92,65,12,8,14,12
3053062,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 5,3202,1330,137,84,20,13,27,19
3053064,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 4,1899,880,99,67,9,7,24,15
3053065,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,117,50,6,4,6,6,1,1
3053066,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,879,452,64,55,8,7,7,6
3053067,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,15,10,0,0,0,0,0,0
3053068,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 5,940,416,21,14,4,3,9,5
